"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 30 23:45:19 MSK 2023","Thu Nov 30 23:45:25 MSK 2023","6213","","ru.netology.tests.PaymentUITests","","ru.netology.tests.PaymentUITests","shouldAllFieldsEmpty","shouldAllFieldsEmpty()",""
"failed","Thu Nov 30 23:44:57 MSK 2023","Thu Nov 30 23:44:58 MSK 2023","878","","ru.netology.tests.PaymentAPITests","","ru.netology.tests.PaymentAPITests","shouldValidTestCardDeclinedEntityAdded","shouldValidTestCardDeclinedEntityAdded()",""
"passed","Thu Nov 30 23:44:58 MSK 2023","Thu Nov 30 23:44:59 MSK 2023","1133","","ru.netology.tests.PaymentAPITests","","ru.netology.tests.PaymentAPITests","shouldPOSTNumberEmpty","shouldPOSTNumberEmpty()",""
"failed","Thu Nov 30 23:44:07 MSK 2023","Thu Nov 30 23:44:07 MSK 2023","439","","ru.netology.tests.CreditAPITests","","ru.netology.tests.CreditAPITests","shouldCreditPOSTMonthEmpty","shouldCreditPOSTMonthEmpty()",""
"passed","Thu Nov 30 23:46:33 MSK 2023","Thu Nov 30 23:46:45 MSK 2023","11794","","ru.netology.tests.PaymentUITests","","ru.netology.tests.PaymentUITests","shouldNumberField17char","shouldNumberField17char()",""
"passed","Thu Nov 30 23:45:14 MSK 2023","Thu Nov 30 23:45:16 MSK 2023","2220","","ru.netology.tests.PaymentUITests","","ru.netology.tests.PaymentUITests","shouldNumberFieldSymbols","shouldNumberFieldSymbols()",""
"failed","Thu Nov 30 23:44:11 MSK 2023","Thu Nov 30 23:44:49 MSK 2023","37764","","ru.netology.tests.CreditUITests","","ru.netology.tests.CreditUITests","shouldValidCreditTestCardDeclined","shouldValidCreditTestCardDeclined()",""
"failed","Thu Nov 30 23:45:01 MSK 2023","Thu Nov 30 23:45:07 MSK 2023","6557","","ru.netology.tests.PaymentUITests","","ru.netology.tests.PaymentUITests","shouldHolderFieldWithSpaceEnd","shouldHolderFieldWithSpaceEnd()",""
"failed","Thu Nov 30 23:44:10 MSK 2023","Thu Nov 30 23:44:11 MSK 2023","857","","ru.netology.tests.CreditAPITests","","ru.netology.tests.CreditAPITests","shouldValidTestCreditCardDeclinedEntityAdded","shouldValidTestCreditCardDeclinedEntityAdded()",""
"failed","Thu Nov 30 23:44:02 MSK 2023","Thu Nov 30 23:44:06 MSK 2023","4951","","ru.netology.tests.CreditAPITests","","ru.netology.tests.CreditAPITests","shouldValidTestCreditCardApprovedEntityAdded","shouldValidTestCreditCardApprovedEntityAdded()",""
"failed","Thu Nov 30 23:45:07 MSK 2023","Thu Nov 30 23:45:14 MSK 2023","6598","","ru.netology.tests.PaymentUITests","","ru.netology.tests.PaymentUITests","shouldNumberFieldEmpty","shouldNumberFieldEmpty()",""
